"","Year","Trade_Balance","Exports","Imports"
"1","2008",43670,487262,443592
"2","2009",-6773,367211,373984
"3","2010",-9703,403967,413670
"4","2011",567,456613,456045
"5","2012",-13289,461511,474800
"6","2013",-8145,479225,487370
"7","2014",4673,529334,524661
"8","2015",-24636,524046,548682
"9","2016",-25048,522301,547349
"10","2017",-24500,550525,575024
"11","2018",-21806,586165,607970
"12","2019",-18798,595599,614398
"13","2020",-40257,522394,562652
"14","2021",4582,636284,631703
"15","2022",21831,779216,757386
