"","Year","GDP","Per_Capita","Annual_Change_GDP"
"1","1960",54901.405407284,2259.2883,NA
"2","1961",55542.8359480339,2240.443,3.1633
"3","1962",57296.1904923967,2268.5805,7.4254
"4","1963",61098.5816747843,2374.4845,5.3495
"5","1964",66998.4892986908,2555.1339,6.6429
"6","1965",73968.8347863943,2770.3586,6.3167
"7","1966",82885.8837404504,3047.0367,6.705
"8","1967",89102.3193230214,3217.1522,3.0912
"9","1968",97462.5995962561,3462.6903,4.9957
"10","1969",107391.968066894,3763.934,5.0455
"11","1970",119663.664768398,4135.8215,NA
"12","1971",135149.606908615,4535.346,NA
"13","1972",153953.423344171,5106.7371,NA
"14","1973",178786.212222828,5858.3918,NA
"15","1974",218379.992596457,7056.582,NA
"16","1975",236670.925685277,7536.8219,NA
"17","1976",281228.414590289,8838.6934,NA
"18","1977",288093.415468964,8949.1099,NA
"19","1978",297662.217856199,9154.7609,NA
"20","1979",330916.752006096,10077.2919,NA
"21","1980",372822.016659253,11207.9452,NA
"22","1981",416886.522034075,12379.0046,NA
"23","1982",426917.79641582,12526.959,-3.1873
"24","1983",463856.806533821,13476.9738,2.6013
"25","1984",484026.213696347,13930.8445,5.9085
"26","1985",496856.801428145,14170.0482,4.7374
"27","1986",514266.138028489,14521.4825,2.145
"28","1987",587705.911355552,16377.9054,4.073
"29","1988",691151.815003488,19012.5592,4.4101
"30","1989",769639.739260707,20795.1725,2.317
"31","1990",808803.447628493,21526.3477,0.1647
"32","1991",831089.479126285,21846.3002,-2.0861
"33","1992",806479.194255705,20949.9333,0.9003
"34","1993",785696.205548804,20186.9885,2.6609
"35","1994",786897.486965431,19997.6237,4.4945
"36","1995",822171.096042771,20678.9504,2.694
"37","1996",855626.87986757,21296.6344,1.6192
"38","1997",888720.376289423,21901.594,4.28
"39","1998",860239.825712961,21024.5099,3.8962
"40","1999",920500.602681678,22315.1743,5.1629
"41","2000",1010545.80940678,24271.0021,5.1776
"42","2001",1002661.57890407,23821.4456,1.79
"43","2002",1032087.04897088,24255.3386,3.0181
"44","2003",1215114.32638641,28300.4631,1.8015
"45","2004",1393064.64980791,32143.6814,3.087
"46","2005",1591732.40225288,36382.5079,3.2042
"47","2006",1790044.45689355,40504.0607,2.6343
"48","2007",1992968.97030077,44659.8951,2.0718
"49","2008",2107174.0618556,46710.5056,1.0043
"50","2009",1865160.12413613,40876.3102,-2.926
"51","2010",2194492.34817379,47562.0834,3.0899
"52","2011",2433275.23815227,52223.6961,3.1461
"53","2012",2480819.06045258,52669.09,1.761
"54","2013",2505555.71181682,52635.175,2.3291
"55","2014",2450131.72256118,50955.9983,2.87
"56","2015",2111948.98728417,43596.1355,0.6592
"57","2016",2073259.66555706,42315.6037,1.0014
"58","2017",2237806.08939261,45129.4293,3.0399
"59","2018",2340970.50776662,46547.7952,2.777
"60","2019",2365973.51546603,46374.1528,1.8882
"61","2020",2235543.89216442,43349.6779,-5.0744
"62","2021",2715717.29052842,52358.6216,5.0118
"63","2022",2903441.9361218,54966.4888,3.3962
"64","2023",2910985.99,2023,2145.4
