"Year","Total_Unique_Persons","GDP","Per_Capita","Annual_Change_GDP","Revenue","House_Price_Index","Consumption","Trade_Balance","Exports","Imports","Unemployment_rate","Annual_Change_unemployment","Inflation_Rate","Annual_Change_Inflation"
"2000",122665,1010545.80940678,24271.0021,5.1776,0,"58.6","0",0,0,0,6.83,-0.75,2.7194,0.98
"2001",145950,1002661.57890407,23821.4456,1.79,0,"60.2","0",0,0,0,7.22,0.39,2.5251,-0.19
"2002",158125,1032087.04897088,24255.3386,3.0181,6393.602,"63.3","0",0,0,0,7.66,0.44,2.2584,-0.27
"2003",164480,1215114.32638641,28300.4631,1.8015,6681.127,"66.5","0",0,0,0,7.57,-0.09,2.7586,0.5
"2004",168590,1393064.64980791,32143.6814,3.087,7040.339,"69.9","0",0,0,0,7.19,-0.38,1.8573,-0.9
"2005",170440,1591732.40225288,36382.5079,3.2042,7234.638,"74.1","0",0,0,0,6.76,-0.43,2.2136,0.36
"2006",172340,1790044.45689355,40504.0607,2.6343,7592.99,"82","0",0,0,0,6.32,-0.44,2.002,-0.21
"2007",179110,1992968.97030077,44659.8951,2.0718,8296.928,"87.1","0",0,0,0,6.04,-0.28,2.1384,0.14
"2008",184140,2107174.0618556,46710.5056,1.0043,8833.174,"87.5","878509",43670,487262,443592,6.14,0.1,2.3703,0.23
"2009",204005,1865160.12413613,40876.3102,-2.926,9257.922,"86.7","881695",-6773,367211,373984,8.34,2.2,0.2995,-2.07
"2010",225295,2194492.34817379,47562.0834,3.0899,9421.891,"88.4","926720",-9703,403967,413670,8.06,-0.28,1.7769,1.48
"2011",248470,2433275.23815227,52223.6961,3.1461,9907.323,"90.7","967084",567,456613,456045,7.51,-0.55,2.9121,1.14
"2012",274700,2480819.06045258,52669.09,1.761,9912.373,"92.7","998053",-13289,461511,474800,7.29,-0.22,1.5157,-1.4
"2013",301545,2505555.71181682,52635.175,2.3291,10320.208,"93.9","1038086",-8145,479225,487370,7.07,-0.22,0.9383,-0.58
"2014",330110,2450131.72256118,50955.9983,2.87,10607.365,"95.5","1086253",4673,529334,524661,6.91,-0.16,1.9066,0.97
"2015",352330,2111948.98728417,43596.1355,0.6592,10811.112,"97","1122079",-24636,524046,548682,6.91,0,1.1252,-0.78
"2016",410570,2073259.66555706,42315.6037,1.0014,11112.911,"100","1153668",-25048,522301,547349,7,0.09,1.4288,0.3
"2017",490775,2237806.08939261,45129.4293,3.0399,11568.417,"103.3","1209153",-24500,550525,575024,6.34,-0.66,1.5969,0.17
"2018",567065,2340970.50776662,46547.7952,2.777,12077.484,"103.3","1260446",-21806,586165,607970,5.83,-0.51,2.2682,0.67
"2019",638280,2365973.51546603,46374.1528,1.8882,13242.361,"103.4","1300816",-18798,595599,614398,5.66,-0.17,1.9493,-0.32
"2020",528190,2235543.89216442,43349.6779,-5.0744,13283.579,"108.2","1225996",-40257,522394,562652,9.46,3.8,0.717,-1.23
"2021",621565,2715717.29052842,52358.6216,5.0118,12582.171,"120.8","1327587",4582,636284,631703,7.46,-2,3.3952,2.68
"2022",807260,2903441.9361218,54966.4888,3.3962,13971.575,"125.5","1473588",21831,779216,757386,5.209,-2.25,6.8028,3.41
"2023",1040985,2910985.99,55366.49,1.5,15151.575,"124.4","1552764",-862.8,63372.4,64235.2,5.4,0.191,3.62,-3.1828
