Macrotrends Data Download

Canada GDP 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,40.462398501886,2259.2883
1961-12-31,40.935133543158,2240.443,3.1633
1962-12-31,42.227357845301,2268.5805,7.4254
1963-12-31,45.029724490389,2374.4845,5.3495
1964-12-31,49.377963148978,2555.1339,6.6429
1965-12-31,54.515115736002,2770.3586,6.3167
1966-12-31,61.086991001548,3047.0367,6.705
1967-12-31,65.668511127259,3217.1522,3.0912
1968-12-31,71.830047239014,3462.6903,4.9957
1969-12-31,79.148003144706,3763.934,5.0455
1970-12-31,88.192257632309,4135.8215
1971-12-31,99.605414680042,4535.346
1972-12-31,113.46384887362,5106.7371
1973-12-31,131.76564264497,5858.3918
1974-12-31,160.94630401036,7056.582
1975-12-31,174.4267425915,7536.8219
1976-12-31,207.26566281482,8838.6934
1977-12-31,212.32517630465,8949.1099
1978-12-31,219.37739459498,9154.7609
1979-12-31,243.88602425183,10077.2919
1980-12-31,274.77025217176,11207.9452
1981-12-31,307.24584297017,12379.0046
1982-12-31,314.63890364876,12526.959,-3.1873
1983-12-31,341.86299630307,13476.9738,2.6013
1984-12-31,356.72787242241,13930.8445,5.9085
1985-12-31,366.18403023779,14170.0482,4.7374
1986-12-31,379.01473119983,14521.4825,2.145
1987-12-31,433.13992803593,16377.9054,4.073
1988-12-31,509.37967719607,19012.5592,4.4101
1989-12-31,567.22536703446,20795.1725,2.317
1990-12-31,596.08906484025,21526.3477,0.1647
1991-12-31,612.51389551261,21846.3002,-2.0861
1992-12-31,594.37608744939,20949.9333,0.9003
1993-12-31,579.05900103092,20186.9885,2.6609
1994-12-31,579.94434680726,19997.6237,4.4945
1995-12-31,605.94103699213,20678.9504,2.694
1996-12-31,630.59798788928,21296.6344,1.6192
1997-12-31,654.9879325566,21901.594,4.28
1998-12-31,633.99773424694,21024.5099,3.8962
1999-12-31,678.40999571189,22315.1743,5.1629
2000-12-31,744.77341593159,24271.0021,5.1776
2001-12-31,738.96272904453,23821.4456,1.79
2002-12-31,760.64933409801,24255.3386,3.0181
2003-12-31,895.54064663479,28300.4631,1.8015
2004-12-31,1026.6902382783,32143.6814,3.087
2005-12-31,1173.1085987787,36382.5079,3.2042
2006-12-31,1319.264809591,40504.0607,2.6343
2007-12-31,1468.8204077833,44659.8951,2.0718
2008-12-31,1552.9896907216,46710.5056,1.0043
2009-12-31,1374.6251421573,40876.3102,-2.926
2010-12-31,1617.3433674863,47562.0834,3.0899
2011-12-31,1793.3266301745,52223.6961,3.1461
2012-12-31,1828.3664815216,52669.09,1.761
2013-12-31,1846.597421835,52635.175,2.3291
2014-12-31,1805.7498784399,50955.9983,2.87
2015-12-31,1556.5088162171,43596.1355,0.6592
2016-12-31,1527.9947419074,42315.6037,1.0014
2017-12-31,1649.2656442441,45129.4293,3.0399
2018-12-31,1725.2979384358,46547.7952,2.777
2019-12-31,1743.7251836725,46374.1528,1.8882
2020-12-31,1647.5984023027,43349.6779,-5.0744
2021-12-31,2001.4867454239,52358.6216,5.0118
2022-12-31,2139.8400236738,54966.4888,3.3962
