Macrotrends Data Download

Canada Unemployment Rate 1991-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Unemployment Rate (%), Annual Change, 
1991-12-31,10.32
1992-12-31,11.2,0.88
1993-12-31,11.38,0.18
1994-12-31,10.4,-0.98
1995-12-31,9.49,-0.91
1996-12-31,9.62,0.13
1997-12-31,9.1,-0.52
1998-12-31,8.28,-0.82
1999-12-31,7.58,-0.7
2000-12-31,6.83,-0.75
2001-12-31,7.22,0.39
2002-12-31,7.66,0.44
2003-12-31,7.57,-0.09
2004-12-31,7.19,-0.38
2005-12-31,6.76,-0.43
2006-12-31,6.32,-0.44
2007-12-31,6.04,-0.28
2008-12-31,6.14,0.1
2009-12-31,8.34,2.2
2010-12-31,8.06,-0.28
2011-12-31,7.51,-0.55
2012-12-31,7.29,-0.22
2013-12-31,7.07,-0.22
2014-12-31,6.91,-0.16
2015-12-31,6.91,0
2016-12-31,7,0.09
2017-12-31,6.34,-0.66
2018-12-31,5.83,-0.51
2019-12-31,5.66,-0.17
2020-12-31,9.46,3.8
2021-12-31,7.46,-2
2022-12-31,5.209,-2.25
