"Year","Total_Unique_Persons","GDP","Per_Capita","Annual_Change_GDP","Revenue","House_Price_Index","Consumption","Trade_Balance","Exports","Imports","Unemployment_rate","Annual_Change_unemployment","Inflation Rate (%)","Annual Change"
"1960",0,40462398501.886,2259.2883,0,0,"0","0",0,0,0,0,0,1.3587,0
"1961",0,40935133543.158,2240.443,3.1633,0,"0","0",0,0,0,0,0,1.0188,-0.34
"1962",0,42227357845.301,2268.5805,7.4254,0,"0","0",0,0,0,0,0,1.0616,0.04
"1963",0,45029724490.389,2374.4845,5.3495,0,"0","0",0,0,0,0,0,1.6282,0.57
"1964",0,49377963148.978,2555.1339,6.6429,0,"0","0",0,0,0,0,0,1.9121,0.28
"1965",0,54515115736.002,2770.3586,6.3167,0,"0","0",0,0,0,0,0,2.3327,0.42
"1966",0,61086991001.548,3047.0367,6.705,0,"0","0",0,0,0,0,0,3.8157,1.48
"1967",0,65668511127.259,3217.1522,3.0912,0,"0","0",0,0,0,0,0,3.58,-0.24
"1968",0,71830047239.014,3462.6903,4.9957,0,"0","0",0,0,0,0,0,4.0553,0.48
"1969",0,79148003144.706,3763.934,5.0455,0,"0","0",0,0,0,0,0,4.5616,0.51
"1970",0,88192257632.309,4135.8215,0,0,"0","0",0,0,0,0,0,3.346,-1.22
"1971",0,99605414680.042,4535.346,0,0,"0","0",0,0,0,0,0,2.7049,-0.64
"1972",0,113463848873.62,5106.7371,0,0,"0","0",0,0,0,0,0,4.988,2.28
"1973",0,131765642644.97,5858.3918,0,0,"0","0",0,0,0,0,0,7.4876,2.5
"1974",0,160946304010.36,7056.582,0,0,"0","0",0,0,0,0,0,10.9972,3.51
"1975",0,174426742591.5,7536.8219,0,0,"0","0",0,0,0,0,0,10.6722,-0.32
"1976",0,207265662814.82,8838.6934,0,0,"0","0",0,0,0,0,0,7.5417,-3.13
"1977",0,212325176304.65,8949.1099,0,0,"0","0",0,0,0,0,0,7.9764,0.43
"1978",0,219377394594.98,9154.7609,0,0,"0","0",0,0,0,0,0,8.9737,1
"1979",0,243886024251.83,10077.2919,0,0,"0","0",0,0,0,0,0,9.1447,0.17
"1980",0,274770252171.76,11207.9452,0,0,"0","0",0,0,0,0,0,10.1292,0.98
"1981",0,307245842970.17,12379.0046,0,0,"0","0",0,0,0,0,0,12.4716,2.34
"1982",0,314638903648.76,12526.959,-3.1873,0,"0","0",0,0,0,0,0,10.769,-1.7
"1983",0,341862996303.07,13476.9738,2.6013,0,"0","0",0,0,0,0,0,5.8636,-4.91
"1984",0,356727872422.41,13930.8445,5.9085,0,"0","0",0,0,0,0,0,4.3048,-1.56
"1985",0,366184030237.79,14170.0482,4.7374,0,"0","0",0,0,0,0,0,3.962,-0.34
"1986",0,379014731199.83,14521.4825,2.145,0,"0","0",0,0,0,0,0,4.1948,0.23
"1987",0,433139928035.93,16377.9054,4.073,0,"0","0",0,0,0,0,0,4.3561,0.16
"1988",0,509379677196.07,19012.5592,4.4101,0,"0","0",0,0,0,0,0,4.0282,-0.33
"1989",0,567225367034.46,20795.1725,2.317,0,"0","0",0,0,0,0,0,4.9836,0.96
"1990",0,596089064840.25,21526.3477,0.1647,0,"0","0",0,0,0,0,0,4.7805,-0.2
"1991",0,612513895512.61,21846.3002,-2.0861,0,"0","0",0,0,0,10.32,0,5.6259,0.85
"1992",0,594376087449.39,20949.9333,0.9003,0,"0","0",0,0,0,11.2,0.88,1.4901,-4.14
"1993",0,579059001030.92,20186.9885,2.6609,0,"0","0",0,0,0,11.38,0.18,1.8651,0.38
"1994",0,579944346807.26,19997.6237,4.4945,0,"0","0",0,0,0,10.4,-0.98,0.1656,-1.7
"1995",0,605941036992.13,20678.9504,2.694,0,"0","0",0,0,0,9.49,-0.91,2.1488,1.98
"1996",0,630597987889.28,21296.6344,1.6192,0,"0","0",0,0,0,9.62,0.13,1.5705,-0.58
"1997",0,654987932556.6,21901.594,4.28,0,"0","0",0,0,0,9.1,-0.52,1.6212,0.05
"1998",0,633997734246.94,21024.5099,3.8962,0,"0","0",0,0,0,8.28,-0.82,0.9959,-0.63
"1999",0,678409995711.89,22315.1743,5.1629,0,"0","0",0,0,0,7.58,-0.7,1.7348,0.74
"2000",122665,744773415931.59,24271.0021,5.1776,0,"58.6","0",0,0,0,6.83,-0.75,2.7194,0.98
"2001",145950,738962729044.53,23821.4456,1.79,0,"60.2","0",0,0,0,7.22,0.39,2.5251,-0.19
"2002",158125,760649334098.01,24255.3386,3.0181,6393.602,"63.3","0",0,0,0,7.66,0.44,2.2584,-0.27
"2003",164480,895540646634.79,28300.4631,1.8015,6681.127,"66.5","0",0,0,0,7.57,-0.09,2.7586,0.5
"2004",168590,1026690238278.3,32143.6814,3.087,7040.339,"69.9","0",0,0,0,7.19,-0.38,1.8573,-0.9
"2005",170440,1173108598778.7,36382.5079,3.2042,7234.638,"74.1","0",0,0,0,6.76,-0.43,2.2136,0.36
"2006",172340,1319264809591,40504.0607,2.6343,7592.99,"82","0",0,0,0,6.32,-0.44,2.002,-0.21
"2007",179110,1468820407783.3,44659.8951,2.0718,8296.928,"87.1","0",0,0,0,6.04,-0.28,2.1384,0.14
"2008",184140,1552989690721.6,46710.5056,1.0043,8833.174,"87.5","878509",43670,487262,443592,6.14,0.1,2.3703,0.23
"2009",204005,1374625142157.3,40876.3102,-2.926,9257.922,"86.7","881695",-6773,367211,373984,8.34,2.2,0.2995,-2.07
"2010",225295,1617343367486.3,47562.0834,3.0899,9421.891,"88.4","926720",-9703,403967,413670,8.06,-0.28,1.7769,1.48
"2011",248470,1793326630174.5,52223.6961,3.1461,9907.323,"90.7","967084",567,456613,456045,7.51,-0.55,2.9121,1.14
"2012",274700,1828366481521.6,52669.09,1.761,9912.373,"92.7","998053",-13289,461511,474800,7.29,-0.22,1.5157,-1.4
"2013",301545,1846597421835,52635.175,2.3291,10320.208,"93.9","1038086",-8145,479225,487370,7.07,-0.22,0.9383,-0.58
